"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[1/2],MutexBasedQueue,3,2,8192,10000,10,2080297,239522
producerConsumer[1/2],LinkedCRQueue/padded,3,2,8192,10000,10,5974789,1451958
producerConsumer[1/2],FAAArrayQueue/padded,3,2,8192,10000,10,4365160,2561385
producerConsumer[1/2],LinkedPRQueue/padded,3,2,8192,10000,10,4093605,1828927
producerConsumer[1/2],MutexBasedQueue,6,2,8192,10000,10,977757,96100
producerConsumer[1/2],LinkedCRQueue/padded,6,2,8192,10000,10,4741159,2449724
producerConsumer[1/2],FAAArrayQueue/padded,6,2,8192,10000,10,5932870,2410147
producerConsumer[1/2],LinkedPRQueue/padded,6,2,8192,10000,10,4478316,2045639
producerConsumer[1/2],MutexBasedQueue,12,2,8192,10000,10,669672,36079
producerConsumer[1/2],LinkedCRQueue/padded,12,2,8192,10000,10,2124988,550775
producerConsumer[1/2],FAAArrayQueue/padded,12,2,8192,10000,10,2272708,1277897
producerConsumer[1/2],LinkedPRQueue/padded,12,2,8192,10000,10,2579465,1068672
producerConsumer[1/2],MutexBasedQueue,24,2,8192,10000,10,650877,24473
producerConsumer[1/2],LinkedCRQueue/padded,24,2,8192,10000,10,2589629,761957
producerConsumer[1/2],FAAArrayQueue/padded,24,2,8192,10000,10,1984555,1333874
producerConsumer[1/2],LinkedPRQueue/padded,24,2,8192,10000,10,2298047,382042
producerConsumer[1/2],MutexBasedQueue,48,2,8192,10000,10,593256,11721
producerConsumer[1/2],LinkedCRQueue/padded,48,2,8192,10000,10,3460526,530874
producerConsumer[1/2],FAAArrayQueue/padded,48,2,8192,10000,10,2305070,42166
producerConsumer[1/2],LinkedPRQueue/padded,48,2,8192,10000,10,2965154,185577
producerConsumer[1/2],MutexBasedQueue,96,2,8192,10000,10,556796,8811
producerConsumer[1/2],LinkedCRQueue/padded,96,2,8192,10000,10,4872799,128641
producerConsumer[1/2],FAAArrayQueue/padded,96,2,8192,10000,10,3674707,119054
producerConsumer[1/2],LinkedPRQueue/padded,96,2,8192,10000,10,4107868,143230
producerConsumer[1/2],MutexBasedQueue,126,2,8192,10000,10,532347,5774
producerConsumer[1/2],LinkedCRQueue/padded,126,2,8192,10000,10,5856047,89425
producerConsumer[1/2],FAAArrayQueue/padded,126,2,8192,10000,10,4462724,138032
producerConsumer[1/2],LinkedPRQueue/padded,126,2,8192,10000,10,4699952,189332
