"Benchmark","Param: queueType","Threads","Param: additionalWork","Param: ringSize","Duration","Iterations","Score","Score Error"
producerConsumer[2/1],MutexBasedQueue,3,0,8192,10000,10,3954287,369555
producerConsumer[2/1],LinkedCRQueue/padded,3,0,8192,10000,10,5198698,866190
producerConsumer[2/1],FAAArrayQueue/padded,3,0,8192,10000,10,8613699,1128058
producerConsumer[2/1],LinkedPRQueue/padded,3,0,8192,10000,10,4755473,474749
producerConsumer[2/1],MutexBasedQueue,6,0,8192,10000,10,2364344,241109
producerConsumer[2/1],LinkedCRQueue/padded,6,0,8192,10000,10,4758736,655109
producerConsumer[2/1],FAAArrayQueue/padded,6,0,8192,10000,10,5431639,736453
producerConsumer[2/1],LinkedPRQueue/padded,6,0,8192,10000,10,4719824,487005
producerConsumer[2/1],MutexBasedQueue,12,0,8192,10000,10,2048918,82048
producerConsumer[2/1],LinkedCRQueue/padded,12,0,8192,10000,10,4366164,428556
producerConsumer[2/1],FAAArrayQueue/padded,12,0,8192,10000,10,4120354,450992
producerConsumer[2/1],LinkedPRQueue/padded,12,0,8192,10000,10,4082195,259430
producerConsumer[2/1],MutexBasedQueue,24,0,8192,10000,10,1788753,31269
producerConsumer[2/1],LinkedCRQueue/padded,24,0,8192,10000,10,4678527,310843
producerConsumer[2/1],FAAArrayQueue/padded,24,0,8192,10000,10,4241419,349245
producerConsumer[2/1],LinkedPRQueue/padded,24,0,8192,10000,10,4433800,278166
producerConsumer[2/1],MutexBasedQueue,48,0,8192,10000,10,1534754,16301
producerConsumer[2/1],LinkedCRQueue/padded,48,0,8192,10000,10,6333172,366903
producerConsumer[2/1],FAAArrayQueue/padded,48,0,8192,10000,10,5176722,1120661
producerConsumer[2/1],LinkedPRQueue/padded,48,0,8192,10000,10,5607968,567174
producerConsumer[2/1],MutexBasedQueue,96,0,8192,10000,10,1404666,14310
producerConsumer[2/1],LinkedCRQueue/padded,96,0,8192,10000,10,6393694,1929743
producerConsumer[2/1],FAAArrayQueue/padded,96,0,8192,10000,10,5437029,2644128
producerConsumer[2/1],LinkedPRQueue/padded,96,0,8192,10000,10,6636224,1769778
producerConsumer[2/1],MutexBasedQueue,126,0,8192,10000,10,1360735,10208
producerConsumer[2/1],LinkedCRQueue/padded,126,0,8192,10000,10,8348512,996048
producerConsumer[2/1],FAAArrayQueue/padded,126,0,8192,10000,10,6686843,1847487
producerConsumer[2/1],LinkedPRQueue/padded,126,0,8192,10000,10,8725731,2749802
